corpus,pattern,length,rarity_bucket,BMH,FBAS,HC_q3a11,HC_q3a12,all_algorithms_agree
dante, ciascun che gi,16,rare,1,1,1,1,True
gutenberg,                                ,32,common,1416,1416,1416,1416,True
gutenberg,  incomp,8,medium,1,1,1,1,True
gutenberg," allowed without very much  protest. Yet, both in Mr. Addison an",64,medium,1,1,1,1,True
gutenberg, and pla,8,medium,4,4,4,4,True
gutenberg, comfort and elegance of their  family party at Pemberley.      ,64,medium,1,1,1,1,True
gutenberg, creature. Who would have thought she could be so thin and small!â    âShe is abominably rude to keep Charlotte out of doors,128,rare,1,1,1,1,True
gutenberg, do not believe she often sees such at home.â    âThe person of whom I speak is a gentleman and a stranger.â    Mrs. Benne,128,rare,1,1,1,1,True
gutenberg, fix the problem,16,rare,1,1,1,1,True
gutenberg," her with astonishment.    âThis is an evening of wonders, ind",64,rare,1,1,1,1,True
gutenberg, is settled betw,16,medium,1,1,1,1,True
gutenberg, join me,8,rare,1,1,1,1,True
gutenberg," side, and that it  has done no ",32,medium,1,1,1,1,True
gutenberg, stand their cha,16,medium,1,1,1,1,True
gutenberg," that, by  his wife at least, if not by himself, such a hope was cherished. The  letter was to this effect:--         /* âMy d",128,rare,1,1,1,1,True
gutenberg," was  always provokingly chary of description in regard to her beauties; and  except the fine eyes, and a hint or two that she h",128,rare,1,1,1,1,True
gutenberg,"! I am sorry for her, because, w",32,rare,1,1,1,1,True
gutenberg,998 [eBook #1342,16,rare,1,1,1,1,True
gutenberg,; but it seems t,16,rare,1,1,1,1,True
gutenberg,"Bingley, and a charming prospect",32,medium,1,1,1,1,True
gutenberg,Had Elizabethâs opinion been a,32,rare,1,1,1,1,True
gutenberg,"The two gentlemen left Rosings the next morning; and Mr. Collins having  been in waiting near the lodges, to make them his parti",128,rare,1,1,1,1,True
gutenberg,"a delicious scheme,  and I dare say would hardly cost anything at all. Mamma would like to  go, too, of all things! Only think w",128,rare,1,1,1,1,True
gutenberg,accepted in retu,16,medium,1,1,1,1,True
gutenberg,"ack to Longbourn.    Mrs. Gardiner went away in all the perplexity about Elizabeth and her  Derbyshire friend, that had attended",128,rare,1,1,1,1,True
gutenberg,al its  unfavourable beginning f,32,medium,1,1,1,1,True
gutenberg,as most pressingly  civil in her,32,medium,1,1,1,1,True
gutenberg,"body else; and she was, in fact,",32,rare,1,1,1,1,True
gutenberg,"ceive it, and ac",16,medium,1,1,1,1,True
gutenberg,"d be wiser to resist? All that I can promise you, therefore, is  not to be in a hurry. I will not be in a hurry to believe mysel",128,rare,1,1,1,1,True
gutenberg,de is separated only by a lane  ,32,medium,1,1,1,1,True
gutenberg,distinct,8,medium,11,11,11,11,True
gutenberg,e  engag,8,medium,2,2,2,2,True
gutenberg,e left h,8,medium,2,2,2,2,True
gutenberg,e only m,8,medium,3,3,3,3,True
gutenberg,"ed a direction of talents--talents which, rightly used,  might at least have preserved the respectability of his daughters, even",128,rare,1,1,1,1,True
gutenberg,eeks of ,8,medium,3,3,3,3,True
gutenberg,"ence, a perfect freedom from the idea  that all men may bully her if they choose, and that most will away with  her if they can.",128,medium,1,1,1,1,True
gutenberg,"er for it as a woman, while she  was immensely the better for it",64,medium,1,1,1,1,True
gutenberg,"er to the fireplace, and they both sat down. He  then said,--    âI have received a letter this morning that has astonished me",128,rare,1,1,1,1,True
gutenberg,"er, and thus began:--    âIn vain have I struggled. It will not do. My feelings will not be  repressed. You must allow me to t",128,rare,1,1,1,1,True
gutenberg,f.    Lady Catherine was extreme,32,rare,1,1,1,1,True
gutenberg,g him.    The Gardiners stayed a week at Longbourn; and what wit,64,rare,1,1,1,1,True
gutenberg,governess can give it. It is  wonderful how many families I have,64,medium,1,1,1,1,True
gutenberg,"gracious!â cried Maria, after a few minutesâ silence, âit ",64,rare,1,1,1,1,True
gutenberg,"had heard, soon after her arrival, that Mr. Darcy  was expected ",64,rare,1,1,1,1,True
gutenberg,"hardly know how Mr. Collins was first introduced to her  notice,",64,medium,1,1,1,1,True
gutenberg,hire is all the present  concern,32,medium,1,1,1,1,True
gutenberg,hours which the discontentedness,32,medium,1,1,1,1,True
gutenberg,ight law (does not  contain a no,32,rare,1,1,1,1,True
gutenberg,ighted h,8,medium,1,1,1,1,True
gutenberg,in good-humour  and good spirits,32,rare,1,1,1,1,True
gutenberg,ing in E,8,medium,1,1,1,1,True
gutenberg,kably  g,8,medium,1,1,1,1,True
gutenberg,l       think of,16,medium,1,1,1,1,True
gutenberg,"lly?â    âA thorough, determ",32,rare,1,1,1,1,True
gutenberg,"manner, I shall certainly be reduced to tricks and stratagems to",64,medium,1,1,1,1,True
gutenberg,"n did not vary on seeing them. Miss Bennetâs lovely face  confirmed his views, and established all his strictest notions of wh",128,rare,1,1,1,1,True
gutenberg,n quality appear,16,rare,1,1,1,1,True
gutenberg,"n the living fell, it was given  elsewhere.â    âGood heaven",64,rare,1,1,1,1,True
gutenberg,n to  introduce ,16,medium,1,1,1,1,True
gutenberg,"n very early, so",16,medium,1,1,1,1,True
gutenberg,"nced  only once with Mrs. Hurst and once with Miss Bingley, decl",64,medium,1,1,1,1,True
gutenberg,"ness into the village,  when she",32,medium,1,1,1,1,True
gutenberg,"nour of dancing with  you, I was",32,medium,1,1,1,1,True
gutenberg,"nt he entered the room. All  Elizabethâs anger against him had been long done away; but had she still  felt any, it could hard",128,rare,1,1,1,1,True
gutenberg,ntempt w,8,medium,2,2,2,2,True
gutenberg,nvoluntary glance showed her Darcy with a heightened  complexion,64,rare,1,1,1,1,True
gutenberg,"on, when they we",16,medium,1,1,1,1,True
gutenberg,other disappoint,16,medium,1,1,1,1,True
gutenberg,"rew aside her book, and  cast her eyes round the room in quest o",64,rare,1,1,1,1,True
gutenberg,riting. My sisters may write to _me_. They will have nothing else to  do.â    Mr. Wickhamâs adieus were much more affectiona,128,rare,1,1,1,1,True
gutenberg,"rt so far as to conceal from him  your sisterâs being in town. I knew it myself, as it was known to Miss  Bingley; but her bro",128,rare,1,1,1,1,True
gutenberg,"s daughter, frig",16,medium,1,1,1,1,True
gutenberg,s own di,8,medium,1,1,1,1,True
gutenberg,"sembled,",8,medium,3,3,3,3,True
gutenberg,"st  conscientiously to his book, and would not even look at her.    On Sunday, after morning service, the separation, so agreeab",128,medium,1,1,1,1,True
gutenberg,"t come and part us, I am determi",32,medium,1,1,1,1,True
gutenberg,t do jus,8,rare,2,2,2,2,True
gutenberg,t he will not have Lizzy.â    âAnd what am I to do on the occasion? It seems a hopeless business.â    âSpeak to Lizzy ab,128,rare,1,1,1,1,True
gutenberg,t on the subject,16,rare,4,4,4,4,True
gutenberg,t she co,8,medium,28,28,28,28,True
gutenberg,t! But I,8,rare,2,2,2,2,True
gutenberg,"termined to hate! Do not wish me such an  evil.â    When the dancing recommenced, however, and Darcy approached to claim her  ",128,rare,1,1,1,1,True
gutenberg,that Sir,8,common,1,1,1,1,True
gutenberg,that every advance to intimacy b,32,medium,1,1,1,1,True
gutenberg,them.    The Gar,16,medium,1,1,1,1,True
gutenberg,tle relieved by ,16,medium,2,2,2,2,True
gutenberg,trange creature by way of a friend!--always wanting me  to play ,64,rare,1,1,1,1,True
gutenberg,tween br,8,medium,1,1,1,1,True
gutenberg,u have even now said as much to  encourage my suit as would be c,64,medium,1,1,1,1,True
gutenberg,uch an idea had ,16,medium,1,1,1,1,True
gutenberg,"uld be his  meaning--and asked Elizabeth whether she could at all understand him.    âNot at all,â was her answer; âbut, d",128,rare,1,1,1,1,True
gutenberg,ur situa,8,medium,2,2,2,2,True
gutenberg,ve heart enough to be really in ,32,medium,1,1,1,1,True
gutenberg,ves; and then thought no more of the matter: and their  indiffer,64,rare,1,1,1,1,True
gutenberg,"warmth, as left no doubt of his good information;  and he soon a",64,rare,1,1,1,1,True
gutenberg,was now employment for the whole  party; for though they could n,64,rare,1,1,1,1,True
gutenberg,"where secrecy  was possible, except to Elizabeth; and from all B",64,rare,1,1,1,1,True
gutenberg,âs departure s,16,rare,1,1,1,1,True
gutenberg,â    It may be,16,rare,1,1,1,1,True
pizza,     Nod,8,common,2378,2378,2378,2378,True
pizza,   Story of the ,16,medium,82,82,82,82,True
pizza,"  ""What ",8,rare,1837,1837,1837,1837,True
pizza,  1.62.  A MAYOR,16,rare,1,1,1,1,True
pizza,  I don't know what it can ever ,32,rare,1,1,1,1,True
pizza," a member of his family that he did not want the bother of ""buyi",64,rare,1,1,1,1,True
pizza, a very active part in all that ,32,medium,2,2,2,2,True
pizza, arid Moslem rea,16,medium,2,2,2,2,True
pizza, breasted the stream and ceased not swimming with them until it reached the farther side. There Yusuf dismounted and knocked at ,128,medium,2,2,2,2,True
pizza, clank.  You've ,16,rare,1,1,1,1,True
pizza," drive Richard Hardie to despair.""  ""No, no,"" implored Peggy; ""t",64,rare,1,1,1,1,True
pizza, far was the anxiety experienced on that score by the King of Na,64,rare,1,1,1,1,True
pizza, from my sister ,16,medium,3,3,3,3,True
pizza, he depe,8,medium,9,9,9,9,True
pizza, his good-humour,16,rare,2,2,2,2,True
pizza," little importance ... no dolmens, menhirs, or ancient circles have been discovered in Judaea, and only one doubtful circle in S",128,rare,1,1,1,1,True
pizza, noticed.  [FN#41] He had now le,32,rare,2,2,2,2,True
pizza," other than Marjanah killed thy daughter, for she hated her in secret;"" and she continued to her son, ""Fret not for taking the b",128,rare,2,2,2,2,True
pizza, politic,8,medium,2314,2314,2314,2314,True
pizza," surprise, not to say horror of her daughter, and she actually f",64,medium,5,5,5,5,True
pizza," these four only.  'Whither have they gone, and my host also?' cried Manawyddan, and they searched the hall, and there was no ma",128,rare,1,1,1,1,True
pizza,!  I know what y,16,rare,1,1,1,1,True
pizza,"""Yes.""  ",8,rare,133,133,133,133,True
pizza,.  On the 26th Camilla came back,32,rare,2,2,2,2,True
pizza,": for I fear thine accompanying me, without having his permission, lest he take umbrage at me seeing thee in my society."" Now wh",128,rare,2,2,2,2,True
pizza,"Allah, the Compassionating, the ",32,medium,26,26,26,26,True
pizza,But will it not be more honourable for you to begin?'  'No; I th,64,rare,1,1,1,1,True
pizza,Germans. Bungler,16,medium,1,1,1,1,True
pizza,across to anothe,16,medium,2,2,2,2,True
pizza,ad a fai,8,medium,29,29,29,29,True
pizza,"ahrazad was surprised by the dawn of day and fell silent and ceased to say her permitted say. Then quoth her sister Dunyazad, ""H",128,rare,194,194,194,194,True
pizza,"ails connected with the fleet.  Bonaparte, whose attention was c",64,medium,2,2,2,2,True
pizza,aken his life; but that only an interchange of courtesy took pla,64,rare,2,2,2,2,True
pizza,asket of gold.  ,16,medium,2,2,2,2,True
pizza,"at the future might hold, roamed",32,medium,1,1,1,1,True
pizza,band. He untied it and examined ,32,rare,2,2,2,2,True
pizza,bows of his own boat to the land,32,medium,3,3,3,3,True
pizza,"ce of the tiles, where she builds huge nests which endanger the ",64,medium,1,1,1,1,True
pizza,cers who could t,16,medium,1,1,1,1,True
pizza,"d, and immediately betrays the latter. These tales are apparently from the Forty Vazirs; cf. Gibbs, the 10th Vazir's Story, pp. ",128,rare,2,2,2,2,True
pizza,"d, with the impression that he w",32,medium,1,1,1,1,True
pizza,ds. To c,8,medium,1,1,1,1,True
pizza,dwell wi,8,medium,32,32,32,32,True
pizza,e way tomorrow if I would let hi,32,medium,1,1,1,1,True
pizza,"eak of the rise of the Rakaia, or rather of the numerous branches which form it; of their vast and wasteful beds; the glaciers t",128,rare,1,1,1,1,True
pizza,"ement; for, though the savages a",32,rare,3,3,3,3,True
pizza,"eming man, and I don't like him.""  Even at that time Bonaparte h",64,rare,2,2,2,2,True
pizza,ercised under equal conditions with men.  We have had queens as ,64,rare,1,1,1,1,True
pizza,"ernacchi was the physicist, Hodgson the biologist, and Ferrar the geologist.  On August 6, 1901, the expedition left Cowes, and ",128,rare,2,2,2,2,True
pizza,"es of to-day, Swathed in fine linen cerecloths fold on fold, Wit",64,rare,1,1,1,1,True
pizza,ess of these thy Ministers. Is this of envy or is it not? They w,64,rare,2,2,2,2,True
pizza,etre of my long ,16,medium,1,1,1,1,True
pizza,"ey hold it as theirs, and the first Thanadar's district which they took was that of Perna, which is by the seaside. There they c",128,rare,1,1,1,1,True
pizza,ey led him off as to execution. ,32,rare,2,2,2,2,True
pizza,"g on a grass plot, and with his last breath put her in mind of h",64,medium,1,1,1,1,True
pizza,ge-feast whereof the merry-makin,32,rare,2,2,2,2,True
pizza,his neck,8,medium,531,531,531,531,True
pizza,ho endeavoured t,16,medium,7,7,7,7,True
pizza,ht there,8,common,389,389,389,389,True
pizza,ibe-Buy ,8,rare,1,1,1,1,True
pizza,"ily bread, and you will earn your reward and recompense in Heave",64,medium,2,2,2,2,True
pizza,in Sydne,8,medium,22,22,22,22,True
pizza,ived a b,8,medium,23,23,23,23,True
pizza,liest raiment and the twain were ready to fly for joy at reunion,64,rare,2,2,2,2,True
pizza,ly deed.,8,medium,6,6,6,6,True
pizza,"mats, etc.: here, however, it ma",32,rare,2,2,2,2,True
pizza,"me for--""(Frere gave him an impl",32,rare,2,2,2,2,True
pizza,"n her strong head and miserable heart. She told Frank, and watch",64,medium,1,1,1,1,True
pizza,"n the wall! rats on the cellar bottom! How I ever stirred from the spot I do not know, but when I did stir, it was to go forward",128,rare,1,1,1,1,True
pizza,ndication of the,16,medium,34,34,34,34,True
pizza,nding affluence. He fell in love with a slave-girl; so he bought her and she loved him as he loved her; and he ceased not to spe,128,rare,2,2,2,2,True
pizza,open air.  The old men are often,32,medium,2,2,2,2,True
pizza,"operas, more than a hundred colleges and universities or musical",64,medium,2,2,2,2,True
pizza,"or Don's preservation, began lou",32,rare,1,1,1,1,True
pizza,ould mak,8,medium,1065,1065,1065,1065,True
pizza,"p, over which, a",16,medium,2,2,2,2,True
pizza,"presence."" So he sent for her, and by reason of this, there was ",64,rare,2,2,2,2,True
pizza,prit. Th,8,medium,2,2,2,2,True
pizza,"r monies and yet other hundred loaded with raiment of silken stuffs, sendal and brocade, besides an hundred slave-girls and a ce",128,rare,2,2,2,2,True
pizza,ree hund,8,medium,553,553,553,553,True
pizza,"rs would be answered, but that at all events it was his duty to be resigned to the will of God. ""Prayer is the only key that wil",128,rare,2,2,2,2,True
pizza,rying to,8,medium,1019,1019,1019,1019,True
pizza,"s Alfred was much agitated. She was alive, and perhaps near him.",64,medium,1,1,1,1,True
pizza,"s falling--clutching, in vain, a",32,rare,2,2,2,2,True
pizza,"s.  'Moose noses, buffalo tongues, bear steaks, and roasted marrow-bones would be the thing, but I don't mind a change; so bring",128,rare,3,3,3,3,True
pizza,se of their narr,16,medium,1,1,1,1,True
pizza,"sel, and got everything shipshape for the long voyage to come; but the best of all was, that we acquired valuable experience of ",128,rare,2,2,2,2,True
pizza,"sful in his attempt, and success is dear to us all.  The archdeacon had trampled upon Mr. Slope and had lifted to high honours t",128,medium,1,1,1,1,True
pizza,t of the prosper,16,medium,3,3,3,3,True
pizza,t's wife,8,rare,80,80,80,80,True
pizza,"tent and all delight of life, when Ni'amah craved leave to retur",64,rare,2,2,2,2,True
pizza,the first.  During the ensuing four years he was never out of employment. He neither advanced nor receded in the modern sense; h,128,rare,1,1,1,1,True
pizza,"the knock at the door which announced the arrival of his pretended mother made his heart jump.  ""I feel deuced shaky, Sarah,"" he",128,rare,2,2,2,2,True
pizza,"think they must have maids and social status--whatever that is--and so on.  It can't be done on mother's income.""  ""That quality",128,rare,1,1,1,1,True
pizza,ting him on the ,16,medium,21,21,21,21,True
pizza,tter was pacing the sitting-room,32,rare,1,1,1,1,True
pizza,uld not be a third. He took a bu,32,medium,1,1,1,1,True
pizza,who had sought t,16,medium,4,4,4,4,True
pizza,y places among t,16,medium,2,2,2,2,True
pizza,y the oc,8,medium,42,42,42,42,True
